지점,지점명,일시,최저기온(°C),최고기온(°C)
108,서울,1961-05-31,14.6,23.4
108,서울,1961-06-01,14.3,26.2
108,서울,1961-06-02,15.1,29
108,서울,1961-06-03,17,29
108,서울,1961-06-04,14.8,20.8
108,서울,1961-06-05,14.2,25.4
108,서울,1961-06-06,16.8,26
108,서울,1961-06-07,16.4,29.9
108,서울,1961-06-08,19.3,27
108,서울,1961-06-09,16.6,24
108,서울,1961-06-10,15.3,24.3
108,서울,1961-06-11,17.9,23.8
108,서울,1961-06-12,17.9,22.4
108,서울,1961-06-13,17.7,23.2
108,서울,1961-06-14,16.3,26.6
108,서울,1961-06-15,15.8,26.7
108,서울,1961-06-16,14.8,19.4
108,서울,1961-06-17,13.5,26.8
108,서울,1961-06-18,17.9,31.2
108,서울,1961-06-19,20.3,23.6
108,서울,1961-06-20,17.6,20.6
108,서울,1961-06-21,17.5,29.9
108,서울,1961-06-22,21.9,29.5
108,서울,1961-06-23,19.4,26.2
108,서울,1961-06-24,19.2,29.5
108,서울,1961-06-25,20.2,30.4
108,서울,1961-06-26,21.2,29.4
108,서울,1961-06-27,20.3,30.6
108,서울,1961-06-28,20.4,28.2
108,서울,1961-06-29,19.8,29.8
108,서울,1961-06-30,19.6,31.2
