지점,지점명,일시,최저기온(°C),최고기온(°C)
108,서울,1972-01-01,-3.9,2
108,서울,1972-01-02,-6.2,.4
108,서울,1972-01-03,-6.5,1.8
108,서울,1972-01-04,-1.3,2.7
108,서울,1972-01-05,-.7,2
108,서울,1972-01-06,-.4,7.3
108,서울,1972-01-07,-.7,6.3
108,서울,1972-01-08,-2.8,6.9
108,서울,1972-01-09,1.5,11.5
108,서울,1972-01-10,5.7,9.6
108,서울,1972-01-11,4.3,13
108,서울,1972-01-12,3.8,7.2
108,서울,1972-01-13,2.7,9
108,서울,1972-01-14,1.5,6.4
108,서울,1972-01-15,0,7.2
108,서울,1972-01-16,-2.2,3.8
108,서울,1972-01-17,-3.8,5.8
108,서울,1972-01-18,-1.6,7.6
108,서울,1972-01-19,.6,6.9
108,서울,1972-01-20,2,5
108,서울,1972-01-21,-8.6,3.2
108,서울,1972-01-22,-9.1,-.9
108,서울,1972-01-23,-3,2.4
108,서울,1972-01-24,2.2,5.1
108,서울,1972-01-25,-5.5,3.8
108,서울,1972-01-26,-7.1,-2
108,서울,1972-01-27,-9.1,-2.8
108,서울,1972-01-28,-8.4,.1
108,서울,1972-01-29,-6.4,-1.4
108,서울,1972-01-30,-3.8,3.9
108,서울,1972-01-31,.4,5
108,서울,1972-02-01,.4,3.2
108,서울,1972-02-02,-6.4,.4
108,서울,1972-02-03,-8,1.3
108,서울,1972-02-04,-1.2,1
108,서울,1972-02-05,-.5,2.9
108,서울,1972-02-06,-1.2,1.3
108,서울,1972-02-07,-1.6,5.2
108,서울,1972-02-08,-.6,6
108,서울,1972-02-09,-.2,7.6
108,서울,1972-02-10,.6,8.4
108,서울,1972-02-11,.6,6.9
108,서울,1972-02-12,.4,2.7
108,서울,1972-02-13,-4.5,1
108,서울,1972-02-14,-5.9,1.4
108,서울,1972-02-15,-4.8,3.5
108,서울,1972-02-16,-.2,3.4
108,서울,1972-02-17,-1.3,7.1
108,서울,1972-02-18,-1.3,7
108,서울,1972-02-19,-9,1.2
108,서울,1972-02-20,-9.6,-.5
108,서울,1972-02-21,-5.9,1.4
108,서울,1972-02-22,-5.2,2.2
108,서울,1972-02-23,-3.7,1.6
108,서울,1972-02-24,-5.9,2.5
108,서울,1972-02-25,-3.5,5
108,서울,1972-02-26,-2.5,4.9
108,서울,1972-02-27,-4.8,1
108,서울,1972-02-28,-7.8,-1.5
108,서울,1972-02-29,-8.4,-2
108,서울,1972-03-01,-7.7,-.7
108,서울,1972-03-02,-6.8,3.4
108,서울,1972-03-03,-3.9,6.5
108,서울,1972-03-04,-2.5,6.5
108,서울,1972-03-05,-1.7,6.9
108,서울,1972-03-06,-2.4,8.5
108,서울,1972-03-07,1.7,10.5
108,서울,1972-03-08,1.2,8.6
108,서울,1972-03-09,2.7,9
108,서울,1972-03-10,-.5,10
108,서울,1972-03-11,1,8.7
108,서울,1972-03-12,-1,8.4
108,서울,1972-03-13,-1.2,8.2
108,서울,1972-03-14,-.2,9.1
108,서울,1972-03-15,-.4,12.6
108,서울,1972-03-16,1.2,7.5
108,서울,1972-03-17,2,12.4
108,서울,1972-03-18,3.4,15.2
108,서울,1972-03-19,6.2,12.2
108,서울,1972-03-20,5.2,14.2
108,서울,1972-03-21,3.6,11.8
108,서울,1972-03-22,3.7,13.6
108,서울,1972-03-23,6.7,9.6
108,서울,1972-03-24,3.8,14
108,서울,1972-03-25,4.4,14.6
108,서울,1972-03-26,4.2,16.2
108,서울,1972-03-27,3.9,15.7
108,서울,1972-03-28,4.8,18
108,서울,1972-03-29,9.1,12.2
108,서울,1972-03-30,4.7,11.4
108,서울,1972-03-31,-3.2,4.7
108,서울,1972-04-01,-4.3,5.5
108,서울,1972-04-02,-2.4,9
108,서울,1972-04-03,.9,10.8
108,서울,1972-04-04,6.2,15.3
108,서울,1972-04-05,4.9,18
108,서울,1972-04-06,8.9,20.1
108,서울,1972-04-07,7.1,13.7
108,서울,1972-04-08,5.8,14.4
108,서울,1972-04-09,3.4,13.1
108,서울,1972-04-10,2.9,13
108,서울,1972-04-11,5.6,12
108,서울,1972-04-12,4.2,16
108,서울,1972-04-13,4.9,18.7
108,서울,1972-04-14,6.6,16.2
108,서울,1972-04-15,6.9,10.8
108,서울,1972-04-16,6.7,15
108,서울,1972-04-17,9.5,16.6
108,서울,1972-04-18,7.3,23.4
108,서울,1972-04-19,11.4,19.5
108,서울,1972-04-20,8.9,19.8
108,서울,1972-04-21,9.8,20.4
108,서울,1972-04-22,9.5,20.3
108,서울,1972-04-23,8.2,19.6
108,서울,1972-04-24,8.5,23.5
108,서울,1972-04-25,9.8,15
108,서울,1972-04-26,8.3,18.8
108,서울,1972-04-27,8,15.8
108,서울,1972-04-28,9.9,22.6
108,서울,1972-04-29,15.4,23.4
108,서울,1972-04-30,14.5,21.4
108,서울,1972-05-01,9.3,17.6
108,서울,1972-05-02,7.8,15.8
108,서울,1972-05-03,8.4,22.5
108,서울,1972-05-04,13.4,18
108,서울,1972-05-05,11.4,23.2
108,서울,1972-05-06,11.2,22.9
108,서울,1972-05-07,12.3,23.8
108,서울,1972-05-08,15.9,18
108,서울,1972-05-09,13.4,25.6
108,서울,1972-05-10,14.1,25.6
108,서울,1972-05-11,13.2,23.6
108,서울,1972-05-12,14.2,24.2
108,서울,1972-05-13,15.8,24.6
108,서울,1972-05-14,9.4,18.8
108,서울,1972-05-15,6.4,19.3
108,서울,1972-05-16,8.7,16.9
108,서울,1972-05-17,8.2,19.6
108,서울,1972-05-18,10.8,22.2
108,서울,1972-05-19,10.8,16.2
108,서울,1972-05-20,10.8,21.4
108,서울,1972-05-21,11.8,23.4
108,서울,1972-05-22,11.6,23.9
108,서울,1972-05-23,12.1,26.2
108,서울,1972-05-24,14.7,25
108,서울,1972-05-25,15.8,21
108,서울,1972-05-26,14.3,20.4
108,서울,1972-05-27,11.8,18
108,서울,1972-05-28,9.6,24.2
108,서울,1972-05-29,12.8,15.4
108,서울,1972-05-30,12.5,20.5
108,서울,1972-05-31,9.4,21.7
108,서울,1972-06-01,17.1,26.7
108,서울,1972-06-02,16.7,27.4
108,서울,1972-06-03,16.9,28.7
108,서울,1972-06-04,18.1,28.4
108,서울,1972-06-05,16.9,29.3
108,서울,1972-06-06,15.5,30.7
108,서울,1972-06-07,17.5,26.2
108,서울,1972-06-08,19,28.2
108,서울,1972-06-09,16.4,29
108,서울,1972-06-10,16.6,29.1
108,서울,1972-06-11,18.1,27.5
108,서울,1972-06-12,16.1,23.9
108,서울,1972-06-13,13.7,25.8
108,서울,1972-06-14,15,28.8
108,서울,1972-06-15,15.6,23.4
108,서울,1972-06-16,15.6,27
108,서울,1972-06-17,17.8,28.5
108,서울,1972-06-18,16.2,29
108,서울,1972-06-19,19.4,28.2
108,서울,1972-06-20,16.6,21.4
108,서울,1972-06-21,15.9,27.9
108,서울,1972-06-22,17.6,28.3
108,서울,1972-06-23,18.1,28.4
108,서울,1972-06-24,17.4,28.6
108,서울,1972-06-25,18.2,29
108,서울,1972-06-26,18.7,23.6
108,서울,1972-06-27,18.6,26.4
108,서울,1972-06-28,18.7,23
108,서울,1972-06-29,18.6,29.8
108,서울,1972-06-30,19.6,30.2
108,서울,1972-07-01,17.5,28.4
108,서울,1972-07-02,19,32.8
108,서울,1972-07-03,21.5,24.8
108,서울,1972-07-04,21,22.8
108,서울,1972-07-05,20.8,30.7
108,서울,1972-07-06,22.9,31.6
108,서울,1972-07-07,24.1,25.2
108,서울,1972-07-08,21.2,24.6
108,서울,1972-07-09,19.8,25.8
108,서울,1972-07-10,18.1,24.8
108,서울,1972-07-11,19,28.2
108,서울,1972-07-12,19.3,30.6
108,서울,1972-07-13,18.8,30.6
108,서울,1972-07-14,19.4,31.2
108,서울,1972-07-15,21.3,32.2
108,서울,1972-07-16,21.2,23.4
108,서울,1972-07-17,21.3,30.6
108,서울,1972-07-18,23.1,33.3
108,서울,1972-07-19,22.6,32.8
108,서울,1972-07-20,25.9,35.6
108,서울,1972-07-21,25.6,35.2
108,서울,1972-07-22,26.2,34.6
108,서울,1972-07-23,25.4,34.2
108,서울,1972-07-24,24,30
108,서울,1972-07-25,22.3,26.4
108,서울,1972-07-26,25.1,30.2
108,서울,1972-07-27,24.1,29.8
108,서울,1972-07-28,23.6,33.8
108,서울,1972-07-29,24.5,32.9
108,서울,1972-07-30,24,32.4
108,서울,1972-07-31,22.9,31.8
108,서울,1972-08-01,22,29.9
108,서울,1972-08-02,21.8,29.2
108,서울,1972-08-03,23,27.1
108,서울,1972-08-04,23.3,26.3
108,서울,1972-08-05,24.5,29
108,서울,1972-08-06,23.6,27.6
108,서울,1972-08-07,21.9,26.3
108,서울,1972-08-08,22.1,27.6
108,서울,1972-08-09,18.8,23.6
108,서울,1972-08-10,19.6,25.9
108,서울,1972-08-11,19.2,28.4
108,서울,1972-08-12,19.5,28.8
108,서울,1972-08-13,18.1,28.2
108,서울,1972-08-14,19.6,30.6
108,서울,1972-08-15,23,30.3
108,서울,1972-08-16,24.8,30.4
